MINFREQ	DIST	MAE	RMSE	PRECISION	RECALL	F1	N	HIT	PRED	TRUTH
1	0	0.20666666666666667	0.7164728420068226	1.0	0.5733333333333334	0.728813559322034	300	172	172	300
1	1	0.6012793176972282	0.9463204468147677	0.9926470588235294	0.5781584582441114	0.7307171853856563	938	540	544	934
1	2	1.3748723186925433	1.6132748591591877	0.9987046632124352	0.5253833049403748	0.6885465505693233	5874	3084	3088	5870
1	3	1.7057595993322203	2.031780061184867	0.9994577006507592	0.5129418313387142	0.6779473974618355	14376	7372	7376	14372
1	4	2.0253133648054695	2.466559679614724	0.9996750609260764	0.50089547378704	0.6673897716795922	24572	12306	12310	24568
1	5	2.355847584069781	2.899132557451724	0.9997681428240204	0.494949494949495	0.6621113243761996	34852	17248	17252	34848
1	6	2.607060073401584	3.216910420281411	0.9998039407901186	0.4925625422582826	0.6599799398194583	41416	20398	20402	41412
1	7	2.7649618663077615	3.419476844961179	0.9998172848529143	0.4910265613783202	0.6586026358548475	44580	21888	21892	44576
1	8	2.8269340221531456	3.5066343396627375	0.9998216833095578	0.4910022330224616	0.6585817060637205	45682	22428	22432	45678
1	9	2.8474473169671954	3.5368394236722227	0.9998232278592893	0.4915482553339417	0.6590730328895622	46030	22624	22628	46026
2	0	0.4918032786885246	1.07632241700858	1.0	0.5683060109289617	0.7247386759581881	366	208	208	366
2	1	0.6195219123505976	0.9222784880727475	0.8969957081545065	0.4372384937238494	0.5879043600562588	1004	418	466	956
2	2	1.5154882154882154	1.7059018172512186	0.9490538573508006	0.2221465076660988	0.36002208724461626	5940	1304	1374	5870
2	3	2.1379310344827585	2.376021562525577	0.9752824858757062	0.19217923740606735	0.3210881190420833	14442	2762	2832	14372
2	4	2.6384446789512137	2.947892848480737	0.985608552631579	0.19513187886681863	0.32576787170426746	24638	4794	4864	24568
2	5	3.1152414227618994	3.4921872822679223	0.9897360703812317	0.19369834710743802	0.32398963233176536	34918	6750	6820	34848
2	6	3.4253411118075308	3.858428341148383	0.9914446345636764	0.19588525065198492	0.32713634713876677	41482	8112	8182	41412
2	7	3.6199883528199615	4.096597141480594	0.9919743178170144	0.19409547738693467	0.3246650906225374	44646	8652	8722	44576
2	8	3.7188510973157296	4.2247920315754985	0.9920291505351856	0.19072638907132536	0.31994124127800216	45748	8712	8782	45678
2	9	3.758720930232558	4.2808439335090736	0.9920291505351856	0.1892843175596402	0.3179097941906291	46096	8712	8782	46026
3	0	0.43333333333333335	1.021980647783726	1.0	0.5333333333333333	0.6956521739130436	360	192	192	360
3	1	0.6292585170340681	0.9152460601944172	0.890625	0.3577405857740586	0.5104477611940299	998	342	384	956
3	2	1.5824064711830133	1.7521713622366961	0.939622641509434	0.1696763202725724	0.2874458874458874	5934	996	1060	5870
